Лемма ;Частота (ipm) ;Ранг ;
новый;1217.5;73;
большой;944.4;96;
должен;944.2;97;
последний;712.6;130;
российский;644.6;141;
русский;530.5;173;
общий;492.4;185;
высокий;483.3;193;
хороший;471.4;199;
главный;454.6;207;
лучший;443.2;215;
маленький;414.1;229;
молодой;400.0;241;
государственный;391.3;249;
полный;390.6;250;
советский;382.9;254;
настоящий;374.0;256;
старый;368.5;264;
разный;352.6;278;
нужный;351.9;279;
белый;339.6;290;
собственный;338.3;291;
черный;337.5;293;
основной;334.1;297;
далекий;318.3;311;
подобный;301.6;334;
следующий;301.4;335;
равный;289.7;352;
живой;284.0;364;
известный;281.1;369;
военный;278.7;373;
важный;277.0;377;
великий;276.3;379;
простой;275.3;381;
огромный;272.1;385;
политический;269.6;387;
московский;257.3;409;
готовый;248.5;424;
красный;240.5;442;
современный;236.1;453;
социальный;228.2;472;
ранний;225.7;480;
особый;224.3;482;
целый;222.5;483;
плохой;221.6;487;
сильный;220.5;490;
скорый;220.0;492;
крупный;217.3;501;
внутренний;216.1;502;
экономический;210.6;514;
правый;210.4;516;
федеральный;208.9;519;
близкий;206.8;524;
похожий;206.5;526;
различный;205.5;532;
необходимый;203.7;539;
единственный;202.2;544;
легкий;202.1;545;
человеческий;199.3;555;
международный;198.2;561;
дорогой;197.7;564;
небольшой;196.6;572;
местный;193.3;577;
бывший;191.5;586;
американский;186.5;601;
широкий;183.9;611;
мировой;182.3;615;
тяжелый;180.3;617;
возможный;179.1;627;
отдельный;177.5;630;
средний;177.3;631;
красивый;177.2;632;
короткий;175.6;640;
серьезный;173.0;654;
интересный;171.9;660;
добрый;171.1;662;
национальный;170.3;665;
длинный;170.1;667;
страшный;169.1;670;
прошлый;169.0;671;
общественный;168.1;673;
детский;161.8;703;
единый;161.3;707;
определенный;161.2;709;
низкий;160.7;710;
чужой;159.6;719;
странный;159.5;721;
чистый;159.0;723;
поздний;157.7;732;
специальный;156.8;738;
научный;155.1;745;
сложный;154.5;754;
реальный;153.8;762;
способный;150.5;775;
малый;150.2;778;
старший;149.5;779;
личный;149.2;783;
свободный;149.0;786;
обычный;148.7;788;
прекрасный;148.4;790;
высший;147.8;791;
темный;146.0;803;
гражданский;144.7;810;
внешний;140.3;848;
боевой;139.6;857;
рабочий;138.0;870;
глубокий;137.3;872;
долгий;135.5;885;
прямой;134.8;892;
финансовый;134.5;896;
открытый;134.4;897;
знакомый;133.4;904;
нынешний;132.3;908;
исторический;130.4;921;
народный;130.3;923;
знаменитый;129.4;929;
больший;128.9;933;
пустой;127.5;940;
очередной;127.4;941;
судебный;126.1;949;
зеленый;124.4;958;
немецкий;123.6;966;
золотой;123.5;967;
технический;123.4;969;
нормальный;123.2;970;
городской;122.4;976;
соответствующий;121.8;978;
любимый;120.4;992;
родной;120.3;993;
западный;120.2;994;
быстрый;119.8;1000;
холодный;119.0;1008;
конкретный;118.1;1012;
иностранный;117.4;1018;
левый;117.2;1022;
счастливый;117.2;1023;
святой;115.8;1035;
точный;115.7;1037;
частый;114.6;1053;
значительный;113.9;1058;
связанный;113.2;1067;
уверенный;112.5;1073;
тонкий;112.4;1075;
центральный;112.4;1076;
будущий;111.7;1083;
физический;109.8;1104;
частный;108.7;1117;
мелкий;108.5;1119;
английский;108.4;1121;
постоянный;108.4;1122;
тихий;107.3;1131;
европейский;104.9;1158;
ближайший;104.3;1162;
отечественный;104.3;1163;
теплый;104.0;1164;
духовный;103.7;1166;
прежний;103.6;1168;
профессиональный;101.5;1190;
французский;101.5;1191;
женский;101.4;1192;
крайний;101.3;1193;
божий;99.9;1208;
дальнейший;99.6;1215;
естественный;98.7;1225;
информационный;98.5;1229;
железный;98.3;1234;
горячий;98.0;1240;
веселый;97.7;1248;
официальный;96.4;1267;
серый;96.1;1271;
опасный;95.7;1276;
слабый;94.1;1302;
яркий;93.9;1306;
летний;93.2;1314;
дополнительный;93.1;1315;
правильный;92.4;1323;
лесной;92.2;1326;
умный;91.5;1343;
северный;91.2;1346;
ясный;90.8;1352;
милый;90.7;1353;
светлый;90.5;1355;
редкий;90.2;1359;
верный;89.8;1362;
юридический;89.6;1364;
административный;88.8;1377;
узкий;88.3;1388;
художественный;88.1;1397;
древний;87.6;1404;
массовый;87.5;1408;
генеральный;87.4;1410;
замечательный;87.4;1411;
задний;86.9;1421;
региональный;86.9;1422;
здоровый;86.6;1429;
активный;85.7;1438;
литературный;85.7;1439;
острый;85.1;1452;
богатый;85.0;1455;
творческий;85.0;1459;
мягкий;84.7;1462;
ночной;84.7;1463;
налоговый;84.5;1468;
толстый;84.4;1469;
бедный;84.0;1476;
верхний;83.9;1480;
вечный;83.8;1482;
лишний;83.5;1484;
морской;83.5;1485;
нижний;83.4;1487;
спокойный;83.4;1488;
сухой;83.0;1493;
синий;82.8;1498;
сегодняшний;82.3;1503;
медицинский;82.0;1509;
свежий;81.3;1519;
трудный;81.3;1520;
уголовный;81.3;1521;
желтый;78.1;1582;
мощный;77.0;1596;
деревянный;75.6;1618;
полезный;75.2;1628;
дальний;74.9;1632;
домашний;74.4;1644;
традиционный;74.1;1647;
жесткий;73.6;1654;
крепкий;73.6;1655;
виноватый;73.0;1659;
культурный;72.8;1663;
приятный;72.7;1666;
круглый;71.9;1682;
понятный;71.6;1687;
голубой;71.5;1688;
удивительный;71.5;1690;
мужской;71.2;1694;
правовой;71.2;1696;
больной;71.0;1700;
мертвый;70.8;1705;
совместный;70.4;1714;
семейный;70.3;1718;
природный;69.7;1734;
православный;69.2;1748;
учебный;69.2;1750;
эффективный;68.9;1756;
материальный;67.7;1780;
невозможный;67.7;1781;
соседний;66.4;1814;
психологический;66.2;1815;
музыкальный;65.9;1824;
голый;65.4;1835;
обязательный;65.4;1839;
исполнительный;65.2;1846;
партийный;65.2;1849;
существенный;65.0;1860;
восточный;64.4;1870;
сельский;64.2;1883;
характерный;64.2;1884;
неожиданный;64.0;1887;
видный;63.5;1897;
честный;63.4;1905;
резкий;63.2;1911;
младший;63.1;1913;
трудовой;62.9;1921;
строгий;62.8;1923;
южный;62.5;1932;
практический;62.4;1933;
многочисленный;62.3;1934;
согласный;62.3;1936;
спортивный;62.0;1944;
истинный;61.8;1948;
злой;61.5;1957;
индивидуальный;61.4;1962;
мокрый;61.3;1966;
дикий;61.2;1970;
рад;61.0;1976;
коммерческий;60.7;1982;
театральный;60.6;1984;
воздушный;60.1;1989;
дешевый;60.1;1990;
пьяный;60.0;1994;
областной;59.6;2001;
твердый;59.5;2007;
вооруженный;59.4;2009;
религиозный;59.4;2011;
промышленный;59.3;2014;
денежный;58.8;2026;
китайский;58.4;2043;
последующий;58.4;2044;
грязный;58.3;2045;
земной;58.3;2046;
классический;58.2;2047;
неизвестный;57.9;2055;
торговый;57.8;2058;
привычный;57.1;2081;
глупый;57.0;2083;
обратный;57.0;2087;
транспортный;56.8;2093;
достойный;56.6;2096;
удобный;56.4;2104;
конечный;56.2;2113;
производственный;56.0;2128;
школьный;55.8;2135;
передний;55.6;2142;
каменный;55.5;2143;
ценный;55.5;2147;
предыдущий;55.3;2152;
солнечный;55.2;2155;
жизненный;55.1;2156;
смешной;55.0;2161;
несчастный;54.9;2165;
арбитражный;54.8;2167;
случайный;54.8;2169;
обязанный;54.5;2178;
горный;54.3;2182;
зарубежный;54.0;2194;
юный;53.8;2200;
положительный;53.7;2201;
довольный;53.4;2212;
телефонный;53.3;2217;
японский;53.2;2222;
указанный;53.1;2226;
деловой;53.0;2228;
минимальный;52.7;2241;
электронный;52.4;2255;
одинаковый;52.3;2257;
химический;52.2;2259;
временной;51.5;2274;
еврейский;51.2;2285;
окружающий;51.1;2288;
опытный;51.1;2289;
космический;51.0;2294;
меньший;50.9;2300;
тайный;50.8;2306;
закрытый;50.7;2308;
отличный;50.7;2310;
ведущий;50.4;2320;
верховный;49.9;2333;
уникальный;49.9;2340;
популярный;49.7;2346;
взрослый;49.5;2357;
розовый;49.3;2373;
скромный;49.2;2379;
технологический;49.2;2380;
старинный;49.1;2385;
непонятный;48.8;2399;
бесконечный;48.7;2402;
независимый;48.7;2404;
нежный;48.5;2413;
зимний;48.2;2427;
талантливый;48.2;2432;
мирный;48.1;2433;
ужасный;47.9;2440;
квадратный;47.7;2444;
незнакомый;47.5;2452;
строительный;47.5;2456;
крупнейший;47.4;2457;
густой;47.2;2464;
действующий;47.2;2465;
надежный;47.2;2467;
очевидный;47.1;2470;
пожилой;47.1;2471;
аналогичный;46.7;2479;
законный;46.7;2480;
муниципальный;46.6;2490;
максимальный;46.5;2494;
неприятный;46.5;2495;
особенный;46.0;2518;
прозрачный;46.0;2519;
церковный;46.0;2520;
громкий;45.9;2521;
самостоятельный;45.6;2534;
электрический;45.2;2549;
нервный;45.0;2553;
заметный;44.8;2557;
важнейший;44.6;2565;
стратегический;44.6;2567;
одинокий;44.5;2570;
бюджетный;44.4;2572;
ответственный;43.9;2588;
рыночный;43.8;2593;
крутой;43.4;2613;
противоположный;43.4;2618;
рыжий;43.2;2630;
текущий;43.2;2633;
ядерный;43.1;2639;
обыкновенный;43.0;2644;
подлинный;42.8;2655;
вынужденный;42.7;2658;
грубый;42.6;2664;
металлический;42.4;2675;
абсолютный;42.3;2680;
интеллектуальный;41.9;2700;
статистический;41.9;2702;
необычный;41.8;2705;
недавний;41.6;2716;
рекламный;41.6;2718;
служебный;41.2;2736;
письменный;41.0;2741;
итальянский;40.9;2747;
половой;40.9;2750;
глухой;40.7;2761;
предварительный;40.7;2763;
чеченский;40.7;2765;
экологический;40.7;2766;
длительный;40.6;2767;
страховой;40.5;2777;
всеобщий;40.4;2780;
демократический;40.4;2781;
душевный;40.1;2804;
печальный;39.9;2819;
пенсионный;39.7;2830;
объективный;39.6;2839;
теоретический;39.5;2847;
моральный;39.2;2863;
инвестиционный;39.1;2870;
земельный;38.9;2876;
невероятный;38.8;2882;
законодательный;38.7;2887;
вечерний;38.6;2891;
идеальный;38.6;2893;
непосредственный;38.6;2895;
