Лемма ;Частота (ipm) ;Ранг ;
год;3727.5;28;
человек;2723.0;39;
время;2015.7;52;
дело;1412.1;65;
жизнь;1389.8;66;
день;1258.4;71;
рука;1200.6;74;
раз;1131.8;78;
работа;1058.3;87;
слово;967.9;94;
место;926.6;98;
лицо;878.0;104;
друг;874.2;106;
глаз;857.6;110;
вопрос;805.8;114;
дом;792.6;118;
сторона;768.3;121;
страна;725.7;125;
мир;714.7;128;
случай;709.7;131;
голова;709.4;132;
ребенок;658.3;137;
сила;645.8;140;
конец;634.7;142;
вид;620.1;145;
система;617.8;146;
часть;585.4;154;
город;573.4;156;
отношение;557.4;162;
женщина;533.3;171;
деньги;512.4;178;
земля;494.4;184;
машина;490.4;187;
вода;484.8;191;
отец;484.1;192;
проблема;474.9;197;
час;468.1;200;
право;461.4;203;
нога;459.2;205;
решение;453.4;208;
дверь;450.8;210;
образ;445.9;212;
история;443.9;214;
власть;435.6;216;
закон;433.4;217;
война;425.9;219;
бог;425.4;220;
голос;424.5;221;
тысяча;416.0;226;
книга;413.9;230;
возможность;407.5;234;
результат;403.1;235;
ночь;402.8;236;
стол;402.5;237;
имя;401.7;239;
область;400.2;240;
статья;395.0;244;
число;393.5;246;
компания;392.7;247;
народ;385.6;252;
жена;376.8;255;
группа;372.8;258;
развитие;372.6;259;
процесс;371.7;260;
суд;371.1;261;
условие;368.1;265;
средство;363.9;268;
начало;361.4;270;
свет;359.7;272;
пора;358.2;273;
путь;357.3;274;
душа;356.8;275;
уровень;348.5;280;
форма;347.8;282;
связь;346.1;283;
минута;344.2;285;
улица;337.8;292;
вечер;335.4;295;
качество;331.7;298;
мысль;331.6;299;
дорога;330.1;300;
мать;330.1;301;
действие;329.3;302;
месяц;328.0;303;
государство;326.4;305;
язык;324.9;306;
любовь;323.9;307;
взгляд;323.8;308;
мама;322.6;309;
век;317.4;314;
школа;316.0;315;
цель;315.5;318;
общество;314.7;320;
деятельность;313.5;322;
организация;312.4;323;
президент;311.0;326;
комната;310.7;327;
порядок;307.6;328;
момент;306.8;329;
театр;305.3;330;
письмо;304.3;333;
утро;301.3;336;
помощь;300.1;338;
ситуация;298.8;339;
роль;297.9;340;
рубль;296.4;343;
смысл;294.6;346;
состояние;294.4;347;
квартира;290.9;350;
орган;288.4;354;
внимание;286.0;355;
