Лемма ;Частота (ipm) ;Ранг ;
быть;12160.7;6;
мочь;2912.3;37;
сказать;2396.6;42;
говорить;1755.0;58;
знать;1713.8;61;
стать;1621.8;62;
хотеть;991.3;92;
идти;957.1;95;
иметь;906.7;99;
видеть;818.2;113;
думать;755.5;123;
сделать;743.5;124;
жить;725.5;126;
делать;701.1;134;
смотреть;667.2;136;
работать;611.2;148;
понять;588.2;152;
пойти;587.2;153;
спросить;573.9;155;
дать;573.1;157;
понимать;559.7;160;
получить;557.7;161;
сидеть;538.1;169;
оказаться;531.9;172;
взять;525.8;175;
прийти;523.3;176;
являться;522.9;177;
любить;503.1;181;
стоить;501.9;182;
остаться;482.7;194;
выйти;480.9;195;
начать;473.3;198;
считать;455.3;206;
увидеть;452.4;209;
казаться;448.2;211;
писать;444.3;213;
найти;424.1;222;
стоять;419.3;224;
решить;409.7;232;
пройти;398.4;242;
принять;386.9;251;
давать;370.7;262;
ответить;370.4;263;
помнить;363.1;269;
ждать;360.2;271;
находиться;342.7;287;
написать;336.2;294;
оставаться;327.4;304;
играть;319.1;310;
лежать;318.1;312;
подумать;315.6;316;
уйти;315.6;317;
посмотреть;314.2;321;
вернуться;311.2;325;
следовать;305.1;331;
читать;304.4;332;
бывать;297.3;341;
ходить;296.6;342;
начинать;296.0;344;
появиться;294.6;345;
называть;293.4;348;
прийтись;285.5;358;
хотеться;285.3;359;
вести;280.3;371;
показать;277.7;375;
поставить;267.3;391;
бояться;266.5;392;
происходить;263.6;395;
существовать;260.9;401;
становиться;259.3;404;
слышать;256.1;411;
смочь;255.1;413;
заметить;253.9;414;
использовать;249.6;422;
пытаться;249.4;423;
представить;247.2;427;
чувствовать;246.9;428;
создать;245.9;429;
заниматься;240.8;440;
продолжать;240.6;441;
слушать;239.5;445;
узнать;238.1;447;
приехать;234.4;456;
отвечать;232.4;459;
рассказывать;230.0;465;
рассказать;229.4;468;
представлять;228.5;470;
брать;226.3;477;
забыть;226.0;478;
провести;222.0;485;
спать;221.9;486;
помочь;218.8;497;
приходить;218.2;499;
просить;215.9;503;
вспомнить;215.5;504;
открыть;214.8;505;
привести;214.7;506;
оставить;210.5;515;
спрашивать;208.3;520;
принимать;207.7;521;
искать;206.9;523;
войти;205.5;531;
назвать;205.1;534;
успеть;203.4;540;
произойти;203.2;541;
выходить;201.6;547;
предложить;201.2;549;
пить;200.9;551;
глядеть;199.3;554;
ехать;198.2;560;
попасть;197.7;565;
начаться;197.4;567;
верить;197.1;568;
держать;196.5;573;
позволять;194.3;575;
купить;192.7;580;
уходить;192.7;581;
собираться;192.6;582;
относиться;191.6;585;
требовать;190.9;587;
подойти;190.0;592;
удаться;189.1;594;
получать;188.2;596;
умереть;179.7;622;
сесть;175.9;636;
случиться;175.8;638;
проходить;175.4;642;
составлять;175.0;643;
приходиться;174.5;646;
установить;174.0;649;
поднять;173.8;652;
стараться;172.8;656;
уметь;172.5;657;
встать;172.1;658;
проводить;167.6;678;
бросить;166.5;683;
объяснить;161.4;705;
снять;161.3;708;
нравиться;160.6;711;
услышать;160.4;712;
связать;160.2;714;
позволить;159.6;718;
поехать;158.4;728;
положить;158.1;729;
входить;157.9;730;
оказываться;155.1;746;
показывать;155.0;748;
вызвать;154.9;750;
касаться;154.7;751;
отметить;154.3;757;
заявить;154.2;758;
действовать;153.5;764;
получиться;149.3;782;
кричать;147.3;792;
остановиться;147.0;797;
предлагать;145.9;805;
убить;144.7;811;
молчать;144.5;813;
согласиться;144.2;814;
сообщить;143.8;822;
бежать;143.6;824;
петь;143.2;828;
вызывать;142.4;833;
показаться;142.4;835;
принести;141.9;841;
выглядеть;141.7;844;
служить;140.3;850;
попросить;140.2;852;
состоять;139.9;854;
отдать;139.8;856;
выступать;138.8;861;
ставить;138.7;864;
возникать;138.4;866;
надеяться;137.1;876;
подняться;136.2;881;
вспоминать;135.9;882;
называться;135.3;887;
помогать;134.5;894;
значить;134.0;899;
возникнуть;133.6;900;
звать;131.3;912;
позвонить;131.0;915;
хватать;130.9;917;
выпить;129.9;926;
потерять;129.2;931;
иметься;128.4;935;
получаться;127.0;945;
учиться;126.9;946;
возвращаться;125.8;951;
расти;125.8;952;
обнаружить;125.0;955;
почувствовать;124.2;961;
передать;123.5;968;
желать;123.1;972;
ожидать;123.0;973;
составить;121.6;980;
нести;120.6;988;
определить;120.6;989;
пользоваться;120.1;999;
улыбнуться;119.0;1007;
появляться;118.4;1011;
смеяться;117.9;1016;
уехать;117.4;1019;
подходить;116.9;1026;
судить;116.8;1027;
родиться;116.7;1028;
отказаться;115.8;1034;
считаться;115.7;1036;
занять;115.6;1038;
добавить;115.5;1041;
звонить;115.4;1043;
носить;115.3;1045;
начинаться;115.1;1047;
зависеть;115.0;1048;
построить;114.9;1051;
создавать;114.1;1057;
встретить;113.5;1062;
принадлежать;113.5;1063;
произнести;113.5;1064;
участвовать;113.0;1069;
занимать;112.7;1071;
улыбаться;111.3;1086;
направить;109.9;1101;
обратиться;108.6;1118;
выбрать;107.9;1125;
бить;107.5;1127;
хватить;107.3;1132;
обещать;107.2;1133;
встречаться;106.8;1135;
напоминать;106.2;1143;
упасть;106.0;1148;
перестать;105.8;1149;
обладать;105.2;1154;
плакать;103.9;1165;
состояться;103.1;1172;
поверить;101.8;1187;
собрать;101.6;1189;
простить;101.1;1194;
рассматривать;100.6;1201;
перейти;100.5;1202;
мешать;100.4;1203;
исчезнуть;99.9;1209;
объявить;99.0;1223;
отличаться;98.9;1224;
обращаться;98.6;1227;
снимать;98.5;1231;
пригласить;98.2;1235;
соответствовать;98.1;1236;
закрыть;97.9;1241;
придумать;97.9;1242;
попробовать;97.8;1244;
приводить;97.8;1245;
достигнуть;97.4;1250;
утверждать;97.3;1252;
означать;97.0;1258;
платить;96.9;1259;
решать;96.5;1265;
определять;95.7;1277;
наблюдать;95.5;1279;
погибнуть;95.4;1282;
разговаривать;95.4;1283;
устроить;94.9;1289;
есть;94.7;1290;
собраться;94.5;1295;
достать;94.4;1296;
ездить;93.6;1309;
понравиться;93.1;1316;
выполнять;92.3;1325;
заставить;92.1;1330;
объяснять;92.1;1331;
выполнить;91.7;1337;
указать;91.5;1342;
вздохнуть;89.7;1363;
находить;89.5;1365;
закончить;89.2;1367;
признать;88.9;1370;
дойти;88.6;1379;
кивнуть;88.4;1383;
обратить;88.3;1387;
узнавать;88.2;1394;
встретиться;88.1;1395;
предусмотреть;87.7;1402;
