filename, Flesch-Kincaid, Coleman-Liau index, Dale-Chale readability formula, readability level (SMOG), Automated Readability Index, # of chars, # of spaces, # of letters, # of words, # of sentences, # of complex words, # of simple words, average # of words per sentence, average # of syllables per sentence, % of complex words
bianki_lesdom.txt, 3.715, 3.421, 4.816, 5.448, 3.516, 9055, 2003, 6374, 1227, 169, 63, 1164, 7.26, 2.247, 5.134
bianki_murav.txt, 1.409, 1.401, 2.363, 2.557, 2.101, 8660, 1948, 5905, 1174, 199, 16, 1158, 5.899, 2.115, 1.363
buratino.txt, 4.92, 5.51, 3.184, 2.812, 5.212, 2813, 505, 2112, 394, 41, 4, 390, 9.61, 2.279, 1.015
gaidar_kamen.txt, 2.607, 4.084, 4.692, 4.297, 3.505, 2356, 485, 1759, 359, 26, 6, 353, 13.808, 2.022, 1.671
text_alyon.txt, 4.824, 4.652, 4.005, 4.494, 4.347, 11783, 1807, 8967, 1708, 190, 48, 1660, 8.989, 2.286, 2.81
text_barin.txt, 4.078, 4.839, 4.319, 4.659, 4.333, 13947, 2206, 10764, 2081, 195, 53, 2028, 10.672, 2.196, 2.547
text_doch.txt, 2.041, 2.638, 2.65, 1.995, 2.155, 3442, 533, 2612, 531, 62, 3, 528, 8.565, 2.1, 0.565
text_fox.txt, 1.361, 1.901, 2.275, 0.05, 1.381, 1109, 182, 841, 175, 21, 0, 175, 8.333, 2.057, 0.0
text_ryaba.txt, 3.891, 3.823, 3.75, 2.602, 3.141, 1913, 318, 1457, 297, 24, 2, 295, 12.375, 2.145, 0.673
text_tale.txt, 3.966, 4.795, 4.814, 5.137, 4.244, 11532, 1855, 8940, 1755, 145, 48, 1707, 12.103, 2.156, 2.735
tolstoy_lip.txt, 1.55, 2.091, 2.371, 0.05, 1.502, 1966, 317, 1462, 304, 35, 0, 304, 8.686, 2.062, 0.0
