filename, Flesch-Kincaid, Coleman-Liau index, Dale-Chale readability formula, readability level (SMOG), Automated Readability Index, # of chars, # of spaces, # of letters, # of words, # of sentences, # of complex words, # of simple words, average # of words per sentence, average # of syllables per sentence, % of complex words
11549_I.txt, 4.826, 4.904, 5.411, 6.128, 4.815, 37362, 5014, 29097, 5432, 656, 310, 5122, 8.28, 2.302, 5.707
11549_II.txt, 5.908, 3.992, 6.421, 6.247, 5.41, 4533, 582, 3507, 629, 114, 56, 573, 5.518, 2.44, 8.903
11549_III.txt, 4.089, 4.044, 4.775, 5.43, 4.13, 16100, 2189, 12474, 2361, 316, 117, 2244, 7.472, 2.269, 4.956
11549_IV.txt, 6.732, 7.171, 6.25, 7.165, 6.947, 18519, 2422, 14780, 2667, 227, 147, 2520, 11.749, 2.359, 5.512
11549_IX.txt, 5.289, 5.611, 5.33, 6.031, 5.676, 13451, 1759, 10520, 1912, 236, 108, 1804, 8.102, 2.339, 5.649
11549_V.txt, 5.058, 5.504, 5.622, 6.448, 5.158, 28731, 3889, 22418, 4201, 422, 221, 3980, 9.955, 2.281, 5.261
11549_VI.txt, 4.644, 4.03, 5.126, 5.495, 5.003, 30866, 4138, 23639, 4307, 717, 272, 4035, 6.007, 2.34, 6.315
11549_VII.txt, 5.411, 4.684, 5.154, 5.712, 5.109, 43868, 5834, 33625, 6155, 885, 363, 5792, 6.955, 2.373, 5.898
11549_VIII.txt, 4.992, 4.375, 4.545, 5.07, 5.172, 6874, 906, 5266, 957, 152, 49, 908, 6.296, 2.358, 5.12
11549_X.txt, 4.906, 4.692, 4.949, 5.578, 4.941, 23026, 3103, 17622, 3251, 445, 174, 3077, 7.306, 2.33, 5.352
11549_XI.txt, 3.941, 3.482, 4.393, 4.956, 4.034, 18299, 2491, 13957, 2627, 406, 125, 2502, 6.47, 2.281, 4.758
11549_XII.txt, 2.327, 0.867, 3.425, 3.826, 2.88, 20045, 2756, 15030, 2886, 614, 112, 2774, 4.7, 2.207, 3.881
253978_12-bratev.txt, 5.691, 4.706, 6.701, 6.266, 4.95, 10579, 1777, 8233, 1687, 87, 43, 1644, 19.391, 2.114, 2.549
