filename, Flesch-Kincaid, Coleman-Liau index, Dale-Chale readability formula, readability level (SMOG), Automated Readability Index, # of chars, # of spaces, # of letters, # of words, # of sentences, # of complex words, # of simple words, average # of words per sentence, average # of syllables per sentence, % of complex words
11549.txt, 4.692, 4.519, 4.999, 5.612, 4.794, 261674, 35083, 201935, 37385, 5190, 2054, 35331, 7.203, 2.317, 5.494
253978.txt, 1.665, 2.114, 3.443, 3.778, 1.646, 1396152, 236600, 1057218, 217918, 26390, 4692, 213226, 8.258, 2.08, 2.153
253979.txt, 5.292, 5.759, 5.255, 5.985, 5.369, 829417, 132175, 643403, 120714, 11127, 5014, 115700, 10.849, 2.278, 4.154
253983.txt, 1.779, 1.931, 2.921, 3.283, 2.176, 124015, 20565, 91947, 18354, 2775, 371, 17983, 6.614, 2.125, 2.021
255871.txt, 0.089, 0.131, 2.354, 2.342, 0.171, 329297, 58939, 241596, 51484, 7868, 529, 50955, 6.543, 2.008, 1.028
255922.txt, 6.271, 5.685, 7.161, 5.922, 6.594, 40647, 6661, 30314, 6043, 272, 120, 5923, 22.217, 2.092, 1.986
256493.txt, 3.579, 3.614, 4.008, 4.613, 3.63, 918209, 149084, 705500, 135610, 18090, 4819, 130791, 7.496, 2.232, 3.554
256494.txt, 3.04, 3.182, 3.8, 4.368, 3.166, 1035472, 170516, 793629, 154669, 20812, 4964, 149705, 7.432, 2.196, 3.209
256495.txt, 5.605, 5.264, 5.889, 6.703, 4.96, 560675, 87237, 419428, 78718, 8347, 4726, 73992, 9.431, 2.331, 6.004
256505.txt, 4.665, 5.13, 5.291, 6.072, 4.725, 734444, 118425, 561511, 106657, 10653, 4943, 101714, 10.012, 2.252, 4.634
256506.txt, 3.322, 3.454, 3.791, 4.366, 3.789, 855014, 138742, 641640, 122017, 17915, 4269, 117748, 6.811, 2.229, 3.499
256507.txt, 4.516, 4.852, 4.904, 5.616, 4.763, 956691, 152449, 726463, 135803, 16450, 6520, 129283, 8.256, 2.281, 4.801
256508.txt, 4.566, 4.429, 4.891, 5.551, 4.533, 1024291, 165617, 779126, 145791, 19303, 7473, 138318, 7.553, 2.3, 5.126
256509.txt, 4.158, 4.692, 4.438, 5.081, 4.411, 451937, 72777, 347233, 65963, 7408, 2399, 63564, 8.904, 2.241, 3.637
363632.txt, 4.631, 4.909, 4.662, 5.339, 4.584, 548726, 78295, 432007, 81892, 8833, 3161, 78731, 9.271, 2.266, 3.86
375371.txt, 6.337, 6.6, 6.638, 7.58, 6.332, 1937133, 283978, 1530451, 284561, 21550, 15634, 268927, 13.205, 2.298, 5.494
41547.txt, 9.508, 9.236, 7.831, 8.966, 9.438, 1756975, 255966, 1363053, 234571, 16039, 16310, 218261, 14.625, 2.49, 6.953
436507.txt, 5.387, 5.265, 4.838, 5.544, 4.948, 240300, 31549, 189405, 35584, 3742, 1445, 34139, 9.509, 2.314, 4.061
436508.txt, 5.208, 5.571, 4.789, 5.385, 5.173, 242878, 32415, 194015, 36536, 3450, 1256, 35280, 10.59, 2.277, 3.438
436520.txt, 7.865, 7.521, 6.645, 7.615, 7.351, 303412, 38954, 244273, 43811, 3524, 2580, 41231, 12.432, 2.423, 5.889
437409.txt, 4.586, 4.511, 4.478, 5.061, 5.065, 278822, 39050, 218885, 40031, 5985, 1923, 38108, 6.689, 2.321, 4.804
437410.txt, 4.633, 4.185, 4.517, 5.047, 4.943, 290293, 40594, 228601, 41828, 6626, 2117, 39711, 6.313, 2.333, 5.061
439446.txt, 0.403, 0, 1.696, 1.787, 0.942, 112567, 14060, 79272, 15758, 9011, 348, 15410, 1.749, 2.137, 2.208
441942.txt, 6.558, 6.15, 6.394, 7.322, 5.788, 14217, 2041, 11149, 2091, 170, 115, 1976, 12.3, 2.334, 5.5
441945.txt, 2.35, 2.003, 3.617, 4.158, 1.981, 58870, 8887, 44352, 8948, 1260, 272, 8676, 7.102, 2.154, 3.04
441946.txt, 3.155, 3.733, 4.029, 4.62, 3.565, 52878, 7819, 40951, 7923, 988, 264, 7659, 8.019, 2.19, 3.332
441947.txt, 1.819, 2.682, 3.553, 4.066, 2.656, 23383, 3346, 17533, 3468, 475, 98, 3370, 7.301, 2.112, 2.826
441948.txt, 1.795, 2.845, 2.864, 2.941, 2.682, 16256, 2316, 12305, 2440, 318, 34, 2406, 7.673, 2.102, 1.393
441949.txt, 7.545, 7.977, 6.858, 7.838, 7.916, 23687, 3280, 18951, 3373, 250, 194, 3179, 13.492, 2.377, 5.752
441950.txt, 4.143, 3.941, 3.868, 4.408, 4.862, 60877, 8499, 47246, 8647, 1428, 347, 8300, 6.055, 2.304, 4.013
441951.txt, 6.636, 6.687, 5.238, 5.85, 7.191, 17345, 2297, 13722, 2375, 323, 139, 2236, 7.353, 2.451, 5.853
441952.txt, 6.042, 6.019, 5.494, 6.043, 6.514, 56572, 7738, 44325, 7807, 1088, 500, 7307, 7.176, 2.413, 6.405
441953.txt, 2.468, 2.892, 4.018, 4.512, 2.344, 18968, 2878, 14095, 2859, 318, 81, 2778, 8.991, 2.12, 2.833
441954.txt, 3.811, 3.713, 3.531, 4.07, 4.301, 43372, 6192, 33651, 6283, 972, 201, 6082, 6.464, 2.272, 3.199
441955.txt, 1.654, 0, 1.917, 2.209, 1.968, 8071, 1028, 5851, 1149, 285, 17, 1132, 4.032, 2.174, 1.48
442069.txt, 5.637, 5.396, 5.068, 5.57, 6.144, 284607, 38865, 225539, 39951, 6077, 2369, 37582, 6.574, 2.398, 5.93
442076.txt, 6.239, 6.372, 5.725, 6.357, 6.636, 337115, 46445, 267805, 47252, 6034, 3071, 44181, 7.831, 2.412, 6.499
442081.txt, 5.123, 5.201, 4.621, 5.265, 5.507, 48593, 6847, 37862, 6872, 937, 326, 6546, 7.334, 2.344, 4.744
442082.txt, 3.439, 4.164, 4.7, 5.401, 3.861, 13735, 2020, 10450, 2015, 232, 85, 1930, 8.685, 2.196, 4.218
442869.txt, 2.447, 3.869, 2.57, 2.596, 4.143, 74674, 9319, 57517, 10841, 1543, 128, 10713, 7.026, 2.163, 1.181
442870.txt, 1.669, 2.514, 2.748, 2.631, 2.226, 53527, 7029, 39907, 8044, 1021, 87, 7957, 7.879, 2.089, 1.082
442940.txt, 0, 0, 0.893, 1.023, 0, 213528, 30407, 145298, 31162, 14770, 179, 30983, 2.11, 1.918, 0.574
442947.txt, 0, 0, 2.015, 2.337, 0.945, 28856, 3036, 21600, 4357, 1285, 86, 4271, 3.391, 2.067, 1.974
442956.txt, 0.48, 0, 1.464, 1.418, 1.328, 34652, 3969, 22842, 4462, 3887, 93, 4369, 1.148, 2.156, 2.084
443051.txt, 4.583, 5.171, 4.121, 4.734, 5.201, 111399, 15741, 88139, 16232, 2024, 568, 15664, 8.02, 2.291, 3.499
443070.txt, 0.318, 0, 1.592, 1.723, 2.095, 134788, 16730, 93726, 17980, 10025, 359, 17621, 1.794, 2.13, 1.997
443355.txt, 7.179, 7.733, 6.712, 7.689, 7.586, 163891, 22419, 133382, 23657, 1992, 1487, 22170, 11.876, 2.387, 6.286
443741.txt, 2.98, 2.627, 3.815, 4.391, 2.899, 576127, 85146, 440296, 85992, 12786, 3083, 82909, 6.725, 2.207, 3.585
453131.txt, 5.735, 5.942, 5.164, 5.912, 5.875, 52167, 7069, 41406, 7520, 862, 379, 7141, 8.724, 2.356, 5.04
453218.txt, 4.36, 4.155, 3.736, 4.304, 4.61, 46657, 6163, 36591, 6787, 1002, 232, 6555, 6.773, 2.303, 3.418
453238.txt, 2.981, 2.208, 3.321, 3.825, 3.173, 188903, 27963, 143714, 27592, 4816, 878, 26714, 5.729, 2.229, 3.182
453312.txt, 2.631, 1.576, 3.092, 3.569, 2.724, 52007, 7784, 39561, 7683, 1408, 223, 7460, 5.457, 2.211, 2.903
453313.txt, 3.851, 4.056, 3.87, 4.456, 4.258, 46490, 6841, 35850, 6745, 934, 232, 6513, 7.222, 2.257, 3.44
453314.txt, 4.484, 4.48, 4.006, 4.609, 4.569, 47264, 6940, 36406, 6808, 895, 238, 6570, 7.607, 2.293, 3.496
453315.txt, 4.081, 3.311, 3.62, 4.159, 4.108, 69391, 10278, 52803, 9886, 1620, 350, 9536, 6.102, 2.299, 3.54
453316.txt, 3.932, 3.81, 3.759, 4.326, 4.34, 102892, 15031, 79205, 14785, 2249, 526, 14259, 6.574, 2.278, 3.558
453317.txt, 2.758, 0.485, 3.053, 3.437, 3.069, 123536, 18542, 93166, 17730, 4096, 601, 17129, 4.329, 2.245, 3.39
453318.txt, 4.049, 1.429, 4.422, 4.546, 3.922, 45365, 6585, 34672, 6438, 1446, 374, 6064, 4.452, 2.333, 5.809
453319.txt, 3.327, 2.208, 3.426, 3.88, 3.885, 426996, 63239, 323650, 60476, 11916, 2236, 58240, 5.075, 2.269, 3.697
453320.txt, 3.3, 2.897, 3.599, 4.137, 3.648, 312097, 47232, 237316, 45045, 7400, 1581, 43464, 6.087, 2.244, 3.51
453321.txt, 2.773, 1.91, 3.442, 3.944, 2.981, 412555, 62547, 309620, 59716, 10709, 2077, 57639, 5.576, 2.218, 3.478
