filename, Flesch-Kincaid, Coleman-Liau index, Dale-Chale readability formula, readability level (SMOG), Automated Readability Index, # of chars, # of spaces, # of letters, # of words, # of sentences, # of complex words, # of simple words, average # of words per sentence, average # of syllables per sentence, % of complex words
0.txt, 7.058, 7.016, 5.025, 5.757, 7.145, 1574, 241, 1172, 205, 24, 10, 195, 8.542, 2.454, 4.878
1.txt, 7.029, 7.188, 5.451, 6.164, 7.42, 1392, 207, 1097, 190, 23, 11, 179, 8.261, 2.458, 5.789
10.txt, 5.045, 3.969, 5.379, 5.88, 4.368, 1299, 207, 840, 157, 23, 10, 147, 6.826, 2.35, 6.369
11.txt, 11.697, 8.043, 5.407, 5.464, 10.389, 764, 95, 530, 83, 16, 6, 77, 5.188, 2.855, 7.229
12.txt, 7.268, 4.578, 6.08, 6.115, 5.837, 752, 119, 552, 98, 17, 8, 90, 5.765, 2.531, 8.163
13.txt, 11.506, 9.017, 5.687, 6.302, 9.696, 1296, 169, 949, 154, 20, 10, 144, 7.7, 2.786, 6.494
14.txt, 9.402, 7.986, 4.176, 4.667, 9.668, 1032, 145, 799, 128, 22, 6, 122, 5.818, 2.68, 4.688
15.txt, 2.231, 0.681, 2.756, 3.176, 1.66, 289, 49, 219, 44, 8, 1, 43, 5.5, 2.182, 2.273
16.txt, 5.511, 1.607, 5.099, 4.992, 4.15, 508, 78, 385, 71, 16, 5, 66, 4.438, 2.437, 7.042
17.txt, 2.076, 0.319, 2.867, 3.278, 2.634, 464, 75, 347, 67, 15, 2, 65, 4.467, 2.194, 2.985
18.txt, 3.994, 6.748, 3.909, 4.471, 7.003, 485, 74, 366, 64, 8, 2, 62, 8.0, 2.25, 3.125
19.txt, 7.123, 4.108, 1.213, 0.05, 6.984, 299, 40, 235, 40, 9, 0, 40, 4.444, 2.55, 0.0
2.txt, 6.697, 6.939, 4.595, 5.154, 6.758, 1097, 175, 859, 154, 15, 5, 149, 10.267, 2.39, 3.247
20.txt, 1.625, 1.778, 1.493, 0.05, 2.939, 629, 106, 482, 93, 17, 0, 93, 5.471, 2.14, 0.0
21.txt, 6.63, 6.596, 3.519, 4.004, 8.498, 628, 90, 492, 81, 15, 3, 78, 5.4, 2.494, 3.704
22.txt, 2.553, 2.979, 3.224, 3.518, 2.768, 1346, 224, 1030, 204, 26, 4, 200, 7.846, 2.152, 1.961
23.txt, 8.088, 8.223, 7.68, 8.642, 8.15, 1470, 217, 1184, 206, 18, 17, 189, 11.444, 2.461, 8.252
