,text,expert_label,cluster
0,"РОСТОВ ВЕЛИКИЙ. Когда-то давно в окрестностях Ростова жило финское племя меря, которое дало название озеру — Неро. На его берегах расположен Ростов Великий — один из I самых древних городов Руси. В 1238 году Ростов был завоёван и сожжён монголо-татарами и по-настоящему возродился только в XVII веке благодаря митрополиту Ионе III. Иона какое-то время был главой Русской церкви — патриархом, но был отправлен домой — в Ростов. Вернувшись в родной город, он решил вернуть тому былую славу. Иона построил себе в центре города «скромный» Архиерейский двор — знаменитый Ростовский кремль, получивший это название только в XIX веке. Храмы и палаты двора были соединены переходами так, что митрополит мог перейти в любое из своих владений, ни разу не ступив на землю, а его стены, длиной более километра, охраняли 11 башен. Не забыл Иона и про царя. Вдоль западной и южной стен кремля он приказал возвести «Хоромы для пришествия государева» (Красную палату). Государь, однако, так и не побывал в заботливо приготовленных для него хоромах. А Иона придумал себе новое «занятие». При нём в Ростове Великом стали отливать самые большие в России колокола. «Полиелейный» весом в 16 тонн, 8-тонный «Лебедь» и 33-тонный Сысой по сей день украшают звонницу Ростовского кремля. Голос «Сысоя» разливается по окрестностям на 20 километров. Всего в ростовской звоннице сегодня 15 больших и малых колоколов — целый колокольный «оркестр»! Звон ростовских колоколов — настоящая музыка. Насладиться ею приезжают люди из самых дальних стран мира. Феоктистов Л.А. Города России. – М., 2007.- с.28-29",1,0
1,"Рассказ о медведе. Кто из нас не знает медведя? Неповоротливый, неуклюжий, косолапый. Именно такого мнения мы придерживаемся об этом звере. Но на самом деле медведь не такой. Он очень подвижный и маневренный. Медведь — грозный лесной житель, который никому не даст спуску, если он не в настроении. Медведь принадлежит к семейству медвежьих. Представители этого семейства всеядны, имеют отличное обоняние, им не страшны пчелиные укусы. Медведь – крупное хищное млекопитающее, хорошо плавает и лазит по деревьям. Один удар – и мишка способен погубить другое животное. Ноги у медведя толстые, голова массивная с небольшими ушами и глазами, цвет шерсти – кричневый. Хотя медведь – это типичный хищник, он отдаёт должное и растительному десерту: ягодам, плодам, зёрнам, траве, корешкам растений. В зимний период медведь не нарушает тишину леса, он мирно спит до весны. В случае, если мишка недостаточно откормился осенью, он просыпается зимой и бродит в поисках пищи – становится шатуном. В конце зимы в медвежьих берлогах появляются медвежата. Два-три, а то и пять маленьких косолапых появляются на свет. Вес каждого в среднем — около пятисот грамм. Медвежата – большие любители сладкого мёда, черники, малины. «Мишка-медведь, научи меня реветь» — говорят дети. И медведи могут научить. Порой так заревут, что мурашки по коже начинают бегать. Но обычно медведь молчалив. Автор рассказа: Ирис Ревю",1,1
2,"ПЕРВЫЙ БУКВАРЬ. Первый русский букварь написал и напечатал Иван Фёдоров в 1574 году. Ивана Фёдорова называют первопечатником. В Москве есть памятник Ивану Фёдорову. Он напечатал много книг, но главная для нас – букварь. Интересно, что Фёдоров никак не назвал свой букварь, поэтому иногда его книгу называли Азбукой или Грамматикой. Конечно, книга Фёдорова отличается от нынешних букварей и азбук, но все они строятся так же: от простого к сложному, от буквы к слову, от слова к предложению, от предложения к рассказу.  Раньше каждая буква азбуки имела своё наименование. Не просто буква А, а АЗ, не Б, а БУКИ. Так дети и заучивали:  АЗ, БУКИ, ВЕДИ, ГЛАГОЛЬ, ДОБРО, ЕСТЬ, ЖИВЕТЕ, ЗЕЛО, ЗЕМЛЯ, ИЖЕ, КАКО, ЛЮДИ, МЫСЛЕТЕ, НАШ, ОН, ПОКОЙ, РЦЫ, СЛОВО, ТВЕРДО, УК, ФЕРТ и так далее. Писатели составляли для лёгкости запоминания целые предложения из этих слов, например, аз – я, буки – буквы, ведаю – знаю. Глаголю – говорю, добро – хорошо, есть – жить… Или: рцы – говори слово твердо. Сочиняли стихи, была даже азбучная молитва.  Заканчивался букварь молитвами и поучениями, как следует себя вести: «Чада (то есть дети), послушайте (слушайтесь) своих родителей, это есть первая заповедь. Благо будет вам и долголетни будете на земле». Автор: В. Крупин // Горецкий В.Г. Азбука. Часть 2.- М., 2017.- С. 90-91",1,1
3,"Про канарейку. Канарейка — изящная, грациозная птичка. У нее стройное тело, маленькая головка, гладкие перышки. Дикие канарейки — неяркие птицы. А канарейки, живущие в неволе, из желто-зеленых превратились в ярко-желтых, нарядных, красивых певуний-щебетуний. Родина канареек — Канарские острова, у западных берегов Африки. Впервые в Европу их привезли мореходы-испанцы. Птицы стоили дорого. Их селили в золотых клетках, и покупали их только богачи. Постепенно птицы развелись и в Европе. Эти птички не только красивые, декоративные, но и певчие. Хорошо умеют подражать свисту иволги, пению овсянок, трели синиц и даже стрекотанию кузнечиков и звону бубенцов. Автор: Шорыгина Т.А. - http://kladraz.ru/raskazy-dlja-detei/raskaz-pro-kanareiku-dlja-detei-1-2-klas.html",1,1
4,"ПОПУГАЙ. Эти птицы привлекают внимание человека своим оперением — зелёным, оранжевым, жёлтым, голубым и ещё многим разноцветьем. В природе около 330 видов. По размерам попугаи также различаются — от 10 сантиметров до 1 метра. Они ловко двигаются по деревьям и по скалам. Приручать попугаев стали давно — до нашей эры. Живут среди скал, в дуплах деревьев, в домах у людей. Любители учат их “говорить” и попугаи подражают — речь и интонацию. Места обитания птиц во всём мире, в России, Новой Зеландии, Индии. В Индии из-за красивых перьев отлавливали попугаев в древности, во время походов Александра Македонского. Многие виды попугаев, как и другие птицы, охраняются и занесены в Красную книгу. Беневоленская, Валентина.  Птицы. – М., 2014. – 47 с.: ил.",1,2
5,"О землянике и клубнике. Ягоды земляники небольшие, ярко-красные, похожие на капельку — сверху шире, а снизу уже. В мякоти видны маленькие светло-коричневые удлиненные семена. Когда вы бродили по опушке леса или гуляли в парке, то наверняка видели эти маленькие алые ягодки в зеленых листьях. Листья земляники называют трилистниками, потому что на одной веточке растут сразу три листочка. Стебель этой ягоды невысокий, укороченный, а листья — довольно крупные. Весной в веточках земляники появляются цветы. Как они выглядят? Верно! Пять белых лепестков окружают небольшое зеленовато-желтое сердечко. Насекомые опыляют цветы земляники. Скоро на месте цветков появится твердая зеленая завязь, из которой образуется сочная ароматная ягодка. Под ее тяжестью тонкий стебелек поникает до самой земли, поэтому и называют это ягодное растение земляникой. Земляника созревает в лесу раньше других ягод — малины, черники, голубики, брусники и клюквы. В середине июня — начале июля бродят ягодники по лесным опушкам, вырубкам, просекам, полянам с лукошками и собираю сладкую нежную землянику. А из сосновых боров, где сухо и солнечно, веет приятным земляничным ароматом. Автор: Шорыгина Т.А. // http://kladraz.ru/raskazy-dlja-detei/raskaz-pro-zemljaniku-i-klubniku-dlja-detei-1-2-klas-okruzhayuschii-mir.html",1,0
6,"Собака – близкий родственник волку. Человек приручил ее первую из всех животных около двенадцати тысяч лет назад. Сначала собаки охраняли жилище человека: лаяли, когда приближался чужой. Потом стали помогать хозяину охотиться: преследовали и задерживали диких животных. Позже собаки научились охранять стада коров, овец, помогали человеку их пасти. Породы собак делят на три группы: охотничьи, служебные и декоративные. Служебные собаки пасут стада, работают на границе и в уголовном розыске, ищут полезные ископаемые, спасают людей, заблудившихся во время снежных бурь, перевозят грузы, почту, пассажиров. В Париже стоит памятник сенбернару Барри. Он спас 39 человек, попавших в снежную бурю в Альпах. На Аляске есть памятник вожаку упряжки Бальду. Он вовремя доставил лечебную сыворотку и спас этим многих детей. В Берлине построен памятник собаке - проводнику слепых. В Санкт-Петербурге возведен памятник всем собакам, которые послужили науке. Автор: И. Шустова // Крылова О.Н. Чтение. 1 класс. Работа с текстом.- М., 2017.- С.83",1,1
7,Кит. Кит — самое большое животное на свете. Он может жить только в океане. Поэтому ни в одном зоопарке мира нет китов. Из жира печени и мяса кита изготовляют нужные нам продукты. Охотиться за китами трудно и опасно.  Доверить это дело можно только очень сильным и храбрым людям. (47 слов.),1,2
8,"Птица-секретарь. Почему птицу зовут «секретарь»? Ее оперение напоминает одежду секретаря в старое время. Секретарем звали писца, переписчика. В старину писец носил за ухом гусиные перья. У птицы косицы, словно перья за ушами. У нее серая куртка и короткие штанишки. Секретарь — отличный охотник на змей. Змея шипит, раздувает шею. Но птица закрывает ноги широким крылом. Другим крылом секретарь бьет змею по голове. Змея оглушена. Птица рвет ее на части и съедает по кускам. (По Н. Коростелёву.)  (71 слово.)",1,2
9,"Каждое дупло в лесу — загадка. Умелый следопыт по следам разгадает дупляного жителя. Бывают дупла-ночлежки. В них проводят ночь белки, дятлы. Сыч днюет в дупле, а ночью летит на охоту. Бывают дупла-кладовые. В них белка прячет орехи. Куница положит про запас лесную мышь. Бывают дупла-спальни. Всю зиму спит в дупле летучая мышь. Она проводит зимнюю спячку вниз головой. Всю зиму ничего не ест и не пьет. Сколько дупел, столько загадок. (74 слова. По Н. Сладкову)	",1,2
10,"ИДУ НА ПОМОЩЬ. Беспилотники сегодня в моде. И они могут быть не только игрушками, но и средством спасения. Как, например, аппарат Pouncer. Он разработан, чтобы доставлять еду и лекарства в районы стихийных бедствий и боевых действий. Этот дрон сделан из фанеры и пластика. Гуманитарный беспилотник способен нести до 45 килограмм груза, а его корпус можно использовать для розжига костра. Ещё он оснащен очень точной системой GPS, чтобы приземлиться именно в той точке, где ждут помощи.",1,2
11,"Лето в лесу. Наступило лето. На лесных полянках трава выше колен. Стрекочут кузнечики.  На бугорках краснеет земляника. Цветут малина, брусника, шиповник, черника. Вылетают из гнезд птенцы. Пройдет немного времени, и появятся вкусные лесные ягоды. Скоро придут сюда дети с корзинками собирать ягоды.",1,2
