filename, Flesch-Kincaid, Coleman-Liau index, Dale-Chale readability formula, readability level (SMOG), Automated Readability Index, # of chars, # of spaces, # of letters, # of words, # of sentences, # of complex words, # of simple words, average # of words per sentence, average # of syllables per sentence, % of complex words, text_level
253978_korol-drozdoborod.txt, 3.751, 4.165, 5.318, 5.28, 3.669, 9280, 1578, 7161, 1465, 100, 35, 1430, 14.65, 2.084, 2.389, 1
bianki_pervaya_ohota.txt, 2.364, 2.638, 3.2, 3.58, 2.598, 3382, 515, 2548, 505, 69, 11, 494, 7.319, 2.15, 2.178, 1
bychok_smolyanoi_bochok.txt, 1.706, 2.984, 2.753, 2.927, 3.125, 4060, 636, 3080, 599, 85, 9, 590, 7.047, 2.11, 1.503, 1
havroshechka.txt, 5.632, 5.684, 4.455, 4.776, 5.27, 4271, 654, 3303, 623, 56, 16, 607, 11.125, 2.295, 2.568, 1
kataev_dudochka_i_kuvshinchik.txt, 5.082, 4.722, 3.598, 4.056, 4.706, 8322, 1258, 6445, 1204, 151, 31, 1173, 7.974, 2.327, 2.575, 1
kot_petuh_i_lisa.txt, 2.879, 2.45, 3.425, 3.201, 1.68, 3982, 642, 3002, 628, 63, 8, 620, 9.968, 2.127, 1.274, 1
lisa_i_volk.txt, 0.884, 1.432, 3.729, 4.18, 0.823, 2928, 455, 2182, 463, 55, 12, 451, 8.418, 2.022, 2.592, 1
listopadnichek.txt, 4.996, 5.729, 4.519, 5.066, 6.617, 6939, 1020, 5378, 939, 146, 47, 892, 6.432, 2.356, 5.005, 1
nosov_zhivaya_shlyapa.txt, 0.584, 0, 2.345, 2.676, 0.703, 2286, 373, 1671, 345, 68, 6, 339, 5.074, 2.075, 1.739, 1
petuh_i_sobaka.txt, 1.948, 1.725, 2.158, 1.664, 1.753, 1375, 227, 1025, 208, 30, 1, 207, 6.933, 2.13, 0.481, 1
princessa_na_goroshine.txt, 2.796, 3.19, 4.841, 5.355, 2.425, 1757, 293, 1365, 282, 25, 9, 273, 11.28, 2.092, 3.191, 1
prishvin_ezh.txt, 1.431, 1.791, 3.82, 3.855, 0.887, 3420, 598, 2600, 561, 54, 10, 551, 10.389, 2.016, 1.783, 1
prishvin_glotok_moloka.txt, 3.155, 1.039, 2.419, 2.716, 2.021, 406, 64, 307, 61, 11, 1, 60, 5.545, 2.246, 1.639, 1
prishvin_predmayskoe_utro.txt, 3.701, 4.294, 5.039, 5.154, 3.721, 769, 121, 599, 121, 9, 3, 118, 13.444, 2.107, 2.479, 1
rukavichka.txt, 1.505, 0.254, 2.21, 2.521, 2.016, 2174, 359, 1560, 308, 64, 5, 303, 4.812, 2.146, 1.623, 1
snegirev_skvorets.txt, 0.897, 1.56, 2.836, 2.934, 1.276, 2276, 376, 1708, 354, 47, 5, 349, 7.532, 2.042, 1.412, 1
text_fox.txt, 1.361, 1.901, 2.275, 0.05, 1.381, 1109, 182, 841, 175, 21, 0, 175, 8.333, 2.057, 0.0, 1
text_ryaba.txt, 3.891, 3.823, 3.75, 2.602, 3.141, 1913, 318, 1457, 297, 24, 2, 295, 12.375, 2.145, 0.673, 1
tri_medvedya.txt, 3.38, 4.151, 2.859, 1.34, 3.607, 3129, 501, 2400, 472, 47, 1, 471, 10.043, 2.161, 0.212, 1
volshebnoe_slovo.txt, 2.142, 0.571, 2.268, 2.624, 2.878, 3702, 575, 2765, 530, 118, 10, 520, 4.492, 2.198, 1.887, 1
andersen_gadkiy_utenok.txt, 2.599, 2.827, 3.315, 3.535, 2.414, 16067, 2659, 12359, 2488, 296, 46, 2442, 8.405, 2.143, 1.849, 2
bolshaya_bereza.txt, 1.961, 1.843, 2.938, 3.303, 2.062, 8445, 1355, 6358, 1274, 192, 26, 1248, 6.635, 2.137, 2.041, 2
